"行識別子","団体コード","自治体・運営団体名","都道府県コード","都道府県","事業キー","事業区分","会計区分","決算年度","処理区域内人口（人）","水洗化人口（人）","年間汚水処理水量（m³/年）","年間有収水量（m³/年）","一般家庭用20m³月額（円/月・税込）","使用料収入（千円/年）","汚水処理費（千円/年）","維持管理費分（千円/年）","資本費分（千円/年）","経費回収率（%）","使用料単価（円/m³）","汚水処理原価（円/m³）","営業費用（千円/年）","性質別費用合計（千円/年）","費用比較対象","費用比較対象外理由","維持管理費分：年額（千円/年）","維持管理費分：単位費用（円/m³）","維持管理費分：構成比（%）","維持管理費分：県内中央値（円/m³）","維持管理費分：県内中央値との差（円/m³）","維持管理費分：県内比較件数","維持管理費分：状態","資本費分：年額（千円/年）","資本費分：単位費用（円/m³）","資本費分：構成比（%）","資本費分：県内中央値（円/m³）","資本費分：県内中央値との差（円/m³）","資本費分：県内比較件数","資本費分：状態","管渠費：年額（千円/年）","管渠費：単位費用（円/m³）","管渠費：構成比（%）","管渠費：県内中央値（円/m³）","管渠費：県内中央値との差（円/m³）","管渠費：県内比較件数","管渠費：状態","ポンプ場費：年額（千円/年）","ポンプ場費：単位費用（円/m³）","ポンプ場費：構成比（%）","ポンプ場費：県内中央値（円/m³）","ポンプ場費：県内中央値との差（円/m³）","ポンプ場費：県内比較件数","ポンプ場費：状態","処理場費：年額（千円/年）","処理場費：単位費用（円/m³）","処理場費：構成比（%）","処理場費：県内中央値（円/m³）","処理場費：県内中央値との差（円/m³）","処理場費：県内比較件数","処理場費：状態","業務費・総係費（一般管理）：年額（千円/年）","業務費・総係費（一般管理）：単位費用（円/m³）","業務費・総係費（一般管理）：構成比（%）","業務費・総係費（一般管理）：県内中央値（円/m³）","業務費・総係費（一般管理）：県内中央値との差（円/m³）","業務費・総係費（一般管理）：県内比較件数","業務費・総係費（一般管理）：状態","業務費：年額（千円/年）","業務費：単位費用（円/m³）","業務費：構成比（%）","業務費：県内中央値（円/m³）","業務費：県内中央値との差（円/m³）","業務費：県内比較件数","業務費：状態","総係費：年額（千円/年）","総係費：単位費用（円/m³）","総係費：構成比（%）","総係費：県内中央値（円/m³）","総係費：県内中央値との差（円/m³）","総係費：県内比較件数","総係費：状態","職員給与費：年額（千円/年）","職員給与費：単位費用（円/m³）","職員給与費：構成比（%）","職員給与費：県内中央値（円/m³）","職員給与費：県内中央値との差（円/m³）","職員給与費：県内比較件数","職員給与費：状態","支払利息：年額（千円/年）","支払利息：単位費用（円/m³）","支払利息：構成比（%）","支払利息：県内中央値（円/m³）","支払利息：県内中央値との差（円/m³）","支払利息：県内比較件数","支払利息：状態","減価償却費：年額（千円/年）","減価償却費：単位費用（円/m³）","減価償却費：構成比（%）","減価償却費：県内中央値（円/m³）","減価償却費：県内中央値との差（円/m³）","減価償却費：県内比較件数","減価償却費：状態","動力費：年額（千円/年）","動力費：単位費用（円/m³）","動力費：構成比（%）","動力費：県内中央値（円/m³）","動力費：県内中央値との差（円/m³）","動力費：県内比較件数","動力費：状態","光熱水費：年額（千円/年）","光熱水費：単位費用（円/m³）","光熱水費：構成比（%）","光熱水費：県内中央値（円/m³）","光熱水費：県内中央値との差（円/m³）","光熱水費：県内比較件数","光熱水費：状態","通信運搬費：年額（千円/年）","通信運搬費：単位費用（円/m³）","通信運搬費：構成比（%）","通信運搬費：県内中央値（円/m³）","通信運搬費：県内中央値との差（円/m³）","通信運搬費：県内比較件数","通信運搬費：状態","修繕費：年額（千円/年）","修繕費：単位費用（円/m³）","修繕費：構成比（%）","修繕費：県内中央値（円/m³）","修繕費：県内中央値との差（円/m³）","修繕費：県内比較件数","修繕費：状態","材料費：年額（千円/年）","材料費：単位費用（円/m³）","材料費：構成比（%）","材料費：県内中央値（円/m³）","材料費：県内中央値との差（円/m³）","材料費：県内比較件数","材料費：状態","薬品費：年額（千円/年）","薬品費：単位費用（円/m³）","薬品費：構成比（%）","薬品費：県内中央値（円/m³）","薬品費：県内中央値との差（円/m³）","薬品費：県内比較件数","薬品費：状態","路面復旧費：年額（千円/年）","路面復旧費：単位費用（円/m³）","路面復旧費：構成比（%）","路面復旧費：県内中央値（円/m³）","路面復旧費：県内中央値との差（円/m³）","路面復旧費：県内比較件数","路面復旧費：状態","委託料：年額（千円/年）","委託料：単位費用（円/m³）","委託料：構成比（%）","委託料：県内中央値（円/m³）","委託料：県内中央値との差（円/m³）","委託料：県内比較件数","委託料：状態","流域下水道管理運営費負担金：年額（千円/年）","流域下水道管理運営費負担金：単位費用（円/m³）","流域下水道管理運営費負担金：構成比（%）","流域下水道管理運営費負担金：県内中央値（円/m³）","流域下水道管理運営費負担金：県内中央値との差（円/m³）","流域下水道管理運営費負担金：県内比較件数","流域下水道管理運営費負担金：状態","その他：年額（千円/年）","その他：単位費用（円/m³）","その他：構成比（%）","その他：県内中央値（円/m³）","その他：県内中央値との差（円/m³）","その他：県内比較件数","その他：状態","検証状態","確認事項"
"010006:17-1-000:non_legal_applied:2020","010006","北海道","01","北海道","17-1-000","公共下水道","法非適用","2020","0","0","0","0","0","0","0","0","0","","","","","","対象外","法非適用（費用比較の会計基準が異なる）","0","","","","","40","水量不足","0","","","","","40","水量不足","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"011002:17-1-000:legal_applied:2020","011002","札幌市","01","北海道","17-1-000","公共下水道","法適用","2020","1946978","1946024","269262632","201896779","1371","17814575","19248992","10888092","8360900","92.5481","88.2361","95.3408","43055036","46048808","対象","","10888092","53.92900299811123","56.56447880491612","94.36358805521874","-40.43458505710751","40","収録","8360900","41.41175526133579","43.43552119508388","67.86177234232429","-26.450017080988495","40","収録","4484244","22.21057721777721","10.415144003131248","15.342254159329542","6.868323058447668","40","収録","703886","3.4863656740160276","1.634851727914012","3.4405856111070836","0.045780062908943986","40","収録","10005574","49.557868379861574","23.239032943788505","70.02830314343585","-20.470434763574275","40","収録","2298815","11.386090513113139","5.339247655024606","19.783335319385053","-8.397244806271914","40","収録","1476449","7.312890316095632","3.4292132516159084","0","7.312890316095632","40","収録","822366","4.073200197017506","1.9100344034086978","18.07300676922974","-13.999806572212233","40","収録","3062814","15.170197440346485","6.6512340558305","15.419551461018504","-0.24935402067201906","40","収録","2792458","13.831117137336797","6.064126567619296","27.438500698062356","-13.607383560725559","40","収録","24619178","121.93942925657076","53.463225367310265","229.57463357498952","-107.63520431841876","40","収録","2100267","10.402677102639661","4.560958450868044","7.815185804791945","2.5874912978477163","40","収録","145832","0.7223096907355813","0.3166900650283933","0.1983421174564992","0.523967573279082","40","収録","22455","0.11122019930788495","0.04876347722182081","0.18464505890396582","-0.07342485959608087","40","収録","1950116","9.658975292518164","4.234889207121278","9.32765577116934","0.33131952134882425","40","収録","380210","1.8831900235515893","0.8256674092410817","0.06460431050294509","1.8185857130486442","40","収録","143881","0.7126463369680603","0.3124532561190292","0","0.7126463369680603","40","収録","136760","0.6773758386705119","0.29698922934118077","0","0.6773758386705119","40","収録","9334930","46.236151196845","20.271816807939956","48.356261269792526","-2.1201100729475257","40","収録","0","0","0","0","0","40","収録","1359907","6.735654757523398","2.9531861063591482","15.244999404214319","-8.50934464669092","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012025:17-1-000:legal_applied:2020","012025","函館市","01","北海道","17-1-000","公共下水道","法適用","2020","224528","216080","34478928","25979228","3014","4037713","3234242","1845138","1389104","124.8426","155.4208","124.4934","5658619","6402622","対象","","1845138","71.02358853773484","57.050090871369555","94.36358805521874","-23.339999517483903","40","収録","1389104","53.46979517636167","42.949909128630445","67.86177234232429","-14.391977165962615","40","収録","306891","11.812937628477643","5.423425751053393","15.342254159329542","-3.529316530851899","40","収録","177735","6.841427312620683","3.140960718507466","3.4405856111070836","3.400841701513599","40","収録","673687","25.93175593978389","11.905502031502738","70.02830314343585","-44.09654720365196","40","収録","470757","18.120515359424846","8.319291332390465","19.783335319385053","-1.6628199599602063","40","収録","226414","8.715193538468503","4.001223620109429","0","8.715193538468503","40","収録","244343","9.405321820956342","4.318067712281035","18.07300676922974","-8.667684948273397","40","収録","356685","13.72962275861315","5.570920788389507","15.419551461018504","-1.6899287024053535","40","収録","720927","27.75013175911155","11.259871346457748","27.438500698062356","0.31163106104919436","40","収録","3524083","135.65002778373554","55.04124716405248","229.57463357498952","-93.92460579125398","40","収録","182366","7.019685111505238","2.848301836341424","7.815185804791945","-0.7955006932867068","40","収録","8545","0.32891662523613097","0.13346094771798178","0.1983421174564992","0.13057450777963175","40","収録","4337","0.16694106537730835","0.06773787363989316","0.18464505890396582","-0.01770399352665747","40","収録","275150","10.591153824894258","4.297458135120268","9.32765577116934","1.263498053724918","40","収録","21151","0.8141504435774612","0.33034903512967034","0.06460431050294509","0.7495461330745161","40","収録","58301","2.244139048319681","0.9105800717268644","0","2.244139048319681","40","収録","0","0","0","0","0","40","収録","518270","19.94939957415209","8.09465247206535","48.356261269792526","-28.406861695640437","40","収録","435642","16.768858566544008","6.804118687625163","0","16.768858566544008","40","収録","297165","11.438561607758322","4.641301641733652","15.244999404214319","-3.806437796455997","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012033:17-1-000:legal_applied:2020","012033","小樽市","01","北海道","17-1-000","公共下水道","法適用","2020","110721","108316","17928189","11388363","2750","1777190","1666791","1141424","525367","106.6234","156.0532","146.3591","3099493","3304150","対象","","1141424","100.22722317509549","68.48033136728","94.36358805521874","5.863635119876747","40","収録","525367","46.13191553518271","31.51966863272","67.86177234232429","-21.729856807141573","40","収録","106353","9.3387434172936","3.4313031195747175","15.342254159329542","-6.003510742035942","40","収録","55483","4.871903011872734","1.7900669561118545","3.4405856111070836","1.43131740076565","40","収録","833504","73.18909662433485","26.891623888164933","70.02830314343585","3.1607934808990024","40","収録","209885","18.429777835497518","6.771591353811736","19.783335319385053","-1.3535574838875348","40","収録","0","0","0","0","0","40","収録","209885","18.429777835497518","6.771591353811736","18.07300676922974","0.356771066267779","40","収録","79975","7.022519391066126","2.420440960610142","15.419551461018504","-8.397032069952377","40","収録","141476","12.42285655980583","4.281766868937549","27.438500698062356","-15.015644138256526","40","収録","1829811","160.6737509157374","55.37917467427326","229.57463357498952","-68.90088265925212","40","収録","178941","15.712618222654125","5.415643962895147","7.815185804791945","7.897432417862181","40","収録","2450","0.21513188506548309","0.0741491760361969","0.1983421174564992","0.016789767608983874","40","収録","1934","0.16982247580271195","0.058532451613879516","0.18464505890396582","-0.014822583101253867","40","収録","9976","0.8759819124135751","0.3019233388314695","9.32765577116934","-8.451673858755765","40","収録","6535","0.5738313750624212","0.19778157771287624","0.06460431050294509","0.5092270645594761","40","収録","57285","5.030134708561714","1.7337287956055263","0","5.030134708561714","40","収録","8519","0.7480442974991226","0.25782727781729037","0","0.7480442974991226","40","収録","596239","52.355110212064716","18.045155334957553","48.356261269792526","3.99884894227219","40","収録","0","0","0","0","0","40","収録","391009","34.33408295819162","11.833875580709108","15.244999404214319","19.089083553977304","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012041:17-1-000:legal_applied:2020","012041","旭川市","01","北海道","17-1-000","公共下水道","法適用","2020","320615","311041","42902178","31459563","3264","5133452","5118499","2665761","2452738","100.2921","163.1762","162.7009","7745044","8222956","対象","","2665761","84.7361102886267","52.080912783220235","94.36358805521874","-9.627477766592037","40","収録","2452738","77.96478291831326","47.919087216779765","67.86177234232429","10.103010575988975","40","収録","507211","16.12263336270755","6.5488459458719674","15.342254159329542","0.7803792033780077","40","収録","148115","4.7081073567360106","1.9123842291922422","3.4405856111070836","1.267521745628927","40","収録","1417754","45.06591525127034","18.305305947906817","70.02830314343585","-24.96238789216551","40","収録","950150","30.20226314014597","12.26784508906599","19.783335319385053","10.418927820760917","40","収録","232084","7.377216269660199","2.996548502500438","0","7.377216269660199","40","収録","718066","22.82504687048577","9.271296586565551","18.07300676922974","4.752040101256032","40","収録","514810","16.3641815367874","6.26064398252891","15.419551461018504","0.9446300757688952","40","収録","442448","14.064022440489717","5.380644138190695","27.438500698062356","-13.374478257572639","40","収録","4706083","149.5914930541152","57.23103711122861","229.57463357498952","-79.98314052087431","40","収録","540","0.017164891959878782","0.006566981508839401","7.815185804791945","-7.798020912832066","40","収録","2252","0.07158395684008707","0.027386745107233944","0.1983421174564992","-0.12675816061641215","40","収録","8878","0.28220353855519226","0.10796604043606703","0.18464505890396582","0.09755847965122644","40","収録","578066","18.374889695702386","7.029905060905104","9.32765577116934","9.047233924533046","40","収録","931","0.02959354521230953","0.011321962564313854","0.06460431050294509","-0.03501076529063556","40","収録","751","0.0238719145590166","0.009132968728034055","0","0.0238719145590166","40","収録","0","0","0","0","0","40","収録","1486538","47.25234104491534","18.077902885531675","48.356261269792526","-1.1039202248771858","40","収録","0","0","0","0","0","40","収録","481659","15.310416104635655","5.857492123270512","15.244999404214319","0.06541670042133596","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012050:17-1-000:legal_applied:2020","012050","室蘭市","01","北海道","17-1-000","公共下水道","法適用","2020","80160","76804","10773440","7293950","3663","1420108","1085858","682088","403770","130.7821","194.6967","148.8711","2358416","2586077","対象","","682088","93.51421383475346","62.81557993770824","94.36358805521874","-0.849374220465279","40","収録","403770","55.356836830523925","37.18442006229176","67.86177234232429","-12.504935511800362","40","収録","168722","23.131773593183393","7.154038982096458","15.342254159329542","7.789519433853851","40","収録","125612","17.22139581433928","5.326117190521096","3.4405856111070836","13.780810203232198","40","収録","583157","79.95078112682428","24.72663855740463","70.02830314343585","9.922477983388433","40","収録","81355","11.15376442119839","3.4495610613225147","19.783335319385053","-8.629570898186662","40","収録","0","0","0","0","0","40","収録","81355","11.15376442119839","3.4495610613225147","18.07300676922974","-6.919242348031348","40","収録","122638","16.813660636554953","4.742240853617274","15.419551461018504","1.3941091755364496","40","収録","195368","26.78493820220868","7.554608776150131","27.438500698062356","-0.6535624958536772","40","収録","1362806","186.84060077187257","52.6978121687792","229.57463357498952","-42.734032803116946","40","収録","107596","14.751403560485059","4.160587639115154","7.815185804791945","6.936217755693114","40","収録","4556","0.6246272595781436","0.17617418197524667","0.1983421174564992","0.42628514212164437","40","収録","2590","0.35508880647660046","0.1001516969525656","0.18464505890396582","0.17044374757263464","40","収録","242288","33.21766669637165","9.36893990395491","9.32765577116934","23.89001092520231","40","収録","1085","0.14875341892938668","0.041955440615263975","0.06460431050294509","0.08414910842644159","40","収録","0","0","0","0","0","40","収録","0","0","0","0","0","40","収録","448450","61.48246149205848","17.340937644161407","48.356261269792526","13.126200222265958","40","収録","0","0","0","0","0","40","収録","98700","13.53176262518937","3.8165916946788516","15.244999404214319","-1.7132367790249496","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012068:17-1-000:legal_applied:2020","012068","釧路市","01","北海道","17-1-000","公共下水道","法適用","2020","157045","150787","22183960","14617495","4502","3224419","2653433","1391775","1261658","121.5188","220.5863","181.5245","4768037","5155068","対象","","1391775","95.21296227568403","52.45186141877334","94.36358805521874","0.8493742204652932","40","収録","1261658","86.31150549393038","47.54813858122666","67.86177234232429","18.449733151606097","40","収録","505658","34.592657633883235","10.605160991829552","15.342254159329542","19.250403474553693","40","収録","205975","14.090991650758218","4.319911946992022","3.4405856111070836","10.650406039651134","40","収録","769271","52.62673255574912","16.133914229272968","70.02830314343585","-17.401570587686727","40","収録","287540","19.670949092166612","6.030574007710091","19.783335319385053","-0.11238622721844038","40","収録","199231","13.629626690482876","4.178470091570179","0","13.629626690482876","40","収録","88309","6.041322401683736","1.8521039161399127","18.07300676922974","-12.031684367546003","40","収録","233762","15.991932954312624","4.534605557094494","15.419551461018504","0.5723814932941202","40","収録","333326","22.803223124071533","6.465986481652617","27.438500698062356","-4.635277573990823","40","収録","2905311","198.75573755968446","56.35834483657636","229.57463357498952","-30.818896015305057","40","収録","228759","15.64967184869911","4.437555430888594","7.815185804791945","7.834486043907166","40","収録","33","0.002257568755795709","0.0006401467449119973","0.1983421174564992","-0.1960845487007035","40","収録","722","0.0493928679298334","0.014005634843226124","0.18464505890396582","-0.13525219097413244","40","収録","354594","24.258191981594656","6.878551359555296","9.32765577116934","14.930536210425316","40","収録","37247","2.548111013549175","0.7225316911435504","0.06460431050294509","2.48350670304623","40","収録","35561","2.4327697734803397","0.6898260119944102","0","2.4327697734803397","40","収録","0","0","0","0","0","40","収録","665461","45.52496853941116","12.908869485329777","48.356261269792526","-2.8312927303813638","40","収録","0","0","0","0","0","40","収録","360292","24.647998853428717","6.989083364176768","15.244999404214319","9.402999449214398","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012076:17-1-000:legal_applied:2020","012076","帯広市","01","北海道","17-1-000","公共下水道","法適用","2020","158197","156561","21497316","16178989","2970","2622471","2123240","1138246","984994","123.5127","162.0912","131.2344","3589667","3950090","対象","","1138246","70.35334531718885","53.60891844539477","94.36358805521874","-24.010242738029888","40","収録","984994","60.88105999701217","46.39108155460522","67.86177234232429","-6.980712345312114","40","収録","380524","23.519640195070284","10.600537598612908","15.342254159329542","8.177386035740742","40","収録","0","0","0","3.4405856111070836","-3.4405856111070836","40","収録","302479","18.695791189424753","8.426380497132465","70.02830314343585","-51.332511954011096","40","収録","191682","11.84758825165157","5.3398267861615025","19.783335319385053","-7.935747067733482","40","収録","132541","8.192168249820801","3.692292349123192","0","8.192168249820801","40","収録","59141","3.6554200018307696","1.6475344370383103","18.07300676922974","-14.41758676739897","40","収録","103065","6.370299157753306","2.6091810566341525","15.419551461018504","-9.049252303265199","40","収録","342085","21.143780986562263","8.6601824262232","27.438500698062356","-6.294719711500093","40","収録","2251048","139.1340336531535","56.987258518160345","229.57463357498952","-90.44059992183603","40","収録","52958","3.2732576800688844","1.3406783136586762","7.815185804791945","-4.541928124723061","40","収録","6574","0.4063294684235214","0.1664265877486336","0.1983421174564992","0.2079873509670222","40","収録","1918","0.11854881661641528","0.04855585568936404","0.18464505890396582","-0.06609624228755054","40","収録","214779","13.275180544346744","5.437319149690261","9.32765577116934","3.9475247731774044","40","収録","600","0.03708513554215285","0.015189527327225455","0.06460431050294509","-0.027519174960792238","40","収録","0","0","0","0","0","40","収録","0","0","0","0","0","40","収録","283346","17.513208025544735","7.173153016766706","48.356261269792526","-30.84305324424779","40","収録","431304","26.658278833121155","10.918839823902747","0","26.658278833121155","40","収録","262413","16.219369455038258","6.643215724198689","15.244999404214319","0.9743700508239392","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012084:17-1-000:legal_applied:2020","012084","北見市","01","北海道","17-1-000","公共下水道","法適用","2020","103075","102258","14863635","9910210","3620","1696732","1672896","701797","971099","101.4248","171.2105","168.8053","3389743","3755064","対象","","701797","70.81555284903145","41.951023853246106","94.36358805521874","-23.548035206187294","40","収録","971099","97.98974996493516","58.048976146753894","67.86177234232429","30.12797762261087","40","収録","279492","28.202429615517733","8.245226850531147","15.342254159329542","12.860175456188191","40","収録","5376","0.5424708457237536","0.1585960941581707","3.4405856111070836","-2.89811476538333","40","収録","463774","46.79759561099109","13.681686192729064","70.02830314343585","-23.23070753244476","40","収録","181732","18.337855605481618","5.361232400214411","19.783335319385053","-1.4454797139034348","40","収録","81729","8.246949358288068","2.4110677417137523","0","8.246949358288068","40","収録","100003","10.090906247193551","2.9501646585006593","18.07300676922974","-7.982100522036188","40","収録","182268","18.39194124039753","4.8539252593298015","15.419551461018504","2.972389779379025","40","収録","385975","38.94720697139616","10.278786193790571","27.438500698062356","11.508706273333807","40","収録","2366354","238.77940023470742","63.01767426600452","229.57463357498952","9.204766659717905","40","収録","93825","9.467508761166513","2.4986258556445375","7.815185804791945","1.6523229563745687","40","収録","2967","0.2993882067080314","0.07901330043908705","0.1983421174564992","0.10104608925153219","40","収録","2160","0.21795703622829385","0.05752232185656489","0.18464505890396582","0.03331197732432803","40","収録","102124","10.304927948045501","2.7196340728147375","9.32765577116934","0.977272176876161","40","収録","4222","0.4260252809980818","0.11243483466593378","0.06460431050294509","0.3614209704951367","40","収録","32374","3.266731986506845","0.8621424295298296","0","3.266731986506845","40","収録","0","0","0","0","0","40","収録","372827","37.62049441939172","9.928645690193298","48.356261269792526","-10.735766850400807","40","収録","0","0","0","0","0","40","収録","209968","21.187038417954817","5.591595775731119","15.244999404214319","5.942039013740498","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012092:17-1-000:non_legal_applied:2020","012092","夕張市","01","北海道","17-1-000","公共下水道","法非適用","2020","2038","1863","247861","188403","5105","50615","82650","82650","0","61.2402","268.6528","438.6873","","","対象外","法非適用（費用比較の会計基準が異なる）","82650","438.6872820496489","100","","","40","収録","0","0","0","","","40","収録","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012106:17-1-000:legal_applied:2020","012106","岩見沢市","01","北海道","17-1-000","公共下水道","法適用","2020","69040","68467","9769202","6210665","3477","1181533","818110","628708","189402","144.4223","190.2426","131.7266","2067731","2286260","対象","","628708","101.23038354185904","76.84883450880689","94.36358805521874","6.866795486640299","40","収録","189402","30.49625120659382","23.151165491193115","67.86177234232429","-37.36552113573047","40","収録","144043","23.19284649872437","6.966234969635798","15.342254159329542","7.850592339394829","40","収録","21084","3.3948055481981396","1.0196684191512337","3.4405856111070836","-0.045780062908943986","40","収録","437157","70.38811463828753","21.141870001465374","70.02830314343585","0.35981149485168373","40","収録","198209","31.91429581212318","9.585821366512375","19.783335319385053","12.130960492738126","40","収録","0","0","0","0","0","40","収録","198209","31.91429581212318","9.585821366512375","18.07300676922974","13.84128904289344","40","収録","44319","7.135950820081264","1.9384934346924672","15.419551461018504","-8.283600640937241","40","収録","145292","23.393952177423834","6.355007741901621","27.438500698062356","-4.044548520638521","40","収録","1266821","203.97509767472565","55.41018956724082","229.57463357498952","-25.599535900263874","40","収録","83189","13.39453987616463","3.6386500223071745","7.815185804791945","5.579354071372686","40","収録","2074","0.3339416954545125","0.09071584159281972","0.1983421174564992","0.1355995779980133","40","収録","1654","0.26631608692466907","0.07234522757691601","0.18464505890396582","0.08167102802070325","40","収録","64195","10.336252237079282","2.8078608732165193","9.32765577116934","1.0085964659099425","40","収録","7865","1.2663700263981392","0.3440116172263872","0.06460431050294509","1.2017657158951942","40","収録","0","0","0","0","0","40","収録","0","0","0","0","0","40","収録","532758","85.78115225986267","23.30259900448768","48.356261269792526","37.42489099007014","40","収録","0","0","0","0","0","40","収録","138093","22.23481704455159","6.040126669757595","15.244999404214319","6.989817640337272","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012114:17-1-000:legal_applied:2020","012114","網走市","01","北海道","17-1-000","公共下水道","法適用","2020","29880","29611","3976711","3394330","4331","618896","690523","330359","360164","89.6271","182.3323","203.4343","1185976","1272654","対象","","330359","97.32671838035783","47.841853204020715","94.36358805521874","2.9631303251390904","40","収録","360164","106.10753815922435","52.15814679597928","67.86177234232429","38.24576581690006","40","収録","27537","8.112646678431384","2.3218850971689142","15.342254159329542","-7.229607480898158","40","収録","56100","16.52756214039295","4.73028121985605","3.4405856111070836","13.086976529285865","40","収録","170810","50.3221548877098","14.402483692756007","70.02830314343585","-19.70614825572605","40","収録","72855","21.463735111200148","6.143041680438728","19.783335319385053","1.6803997918150948","40","収録","0","0","0","0","0","40","収録","72855","21.463735111200148","6.143041680438728","18.07300676922974","3.3907283419704086","40","収録","36909","10.873721765414677","2.9001598234869808","15.419551461018504","-4.545829695603826","40","収録","82969","24.443410039683826","6.519368186482737","27.438500698062356","-2.9950906583785297","40","収録","855998","252.1846726747252","67.26085801796874","229.57463357498952","22.610039099735673","40","収録","66897","19.70845498227927","5.256495481096983","7.815185804791945","11.893269177487326","40","収録","0","0","0","0.1983421174564992","-0.1983421174564992","40","収録","0","0","0","0.18464505890396582","-0.18464505890396582","40","収録","19755","5.81999982323463","1.552267937711271","9.32765577116934","-3.50765594793471","40","収録","1936","0.5703629287665017","0.15212304365522758","0.06460431050294509","0.5057586182635566","40","収録","253","0.0745360645547133","0.01987971593221724","0","0.0745360645547133","40","収録","0","0","0","0","0","40","収録","157017","46.25861362919928","12.337760302485986","48.356261269792526","-2.0976476405932445","40","収録","0","0","0","0","0","40","収録","50920","15.001487775201586","4.001087491179849","15.244999404214319","-0.24351162901273327","40","収録","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
"012122:17-1-000:non_legal_applied:2020","012122","留萌市","01","北海道","17-1-000","公共下水道","法非適用","2020","17076","15193","1739765","1513424","4820","354820","407598","243489","164109","87.0515","234.4485","269.3217","","","対象外","法非適用（費用比較の会計基準が異なる）","243489","160.8861759824081","59.73753551293186","","","40","収録","164109","108.43557390394231","40.26246448706814","","","40","収録","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","","","","","","40","法非適用のため費用内訳対象外","自動検証済み（全件手動照合ではない）","実施した自動検証で追加指摘なし"
